  Frame         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      425        0.102        3.388            0      232.450        4.148      115.032
      426        0.141        3.348            0      230.795        0.467      115.654
      427        0.265        3.296            0      230.097        0.293      115.373
      428        0.179        3.315            0      230.883        0.210      113.353
      429        0.146        3.314            0      230.129        0.992      115.727
      430        0.214        3.361            0      233.126        0.615      115.327
      431        0.222        3.408            0      235.152        0.276      117.709
      432        0.232        3.339            0      231.902        1.738      116.065
      433        0.185        3.358            0      231.754        1.992      112.500
      434        0.132        3.366            0      232.364        3.398      114.287
      435        0.316        3.291            0      230.363        3.155      118.314
      436        0.128        3.384            0      231.733        1.540      111.401
      437        0.225        3.323            0      230.367        2.831      114.654
      438        0.139        3.370            0      231.409        1.132      116.265
      439        0.143        3.404            0      234.590        1.975      114.073
      440        0.264        3.327            0      231.827        1.682      113.295
      441        0.205        3.329            0      230.636        4.545      115.216
      442        0.484        3.523            0      236.234        0.462      112.845
      443        0.192        3.364            0      232.377        0.177      113.062
      444        0.552        3.544            0      236.363        3.053      114.547
      445        0.280        3.460            0      232.331        2.007      114.742
      446        0.474        3.535            0      235.362        0.040      113.178
      447        0.388        3.475            0      233.536        0.098      114.382
      448        0.344        3.470            0      234.253        1.493      113.640
      449        0.314        3.474            0      233.873        1.443      115.648
      450        0.590        3.517            0      234.685        0.000      112.053
      451        0.514        3.525            0      235.093        0.731      113.778
      452        0.349        3.469            0      233.012        0.000      112.224
      453        0.324        3.390            0      231.256        3.084      116.867
      454        0.122        3.370            0      231.043        2.281      115.250
      455        0.438        3.504            0      234.847        0.769      114.134
      456        0.111        3.415            0      233.582        0.099      111.221
      457        0.248        3.307            0      230.474        2.628      113.261
      458        0.161        3.348            0      231.183        0.273      116.785
      459        0.135        3.375            0      234.120        0.428      112.253
      460        0.112        3.386            0      231.559        0.837      114.761
      461        0.161        3.338            0      229.685        0.000      113.327
      462        0.185        3.384            0      231.797        0.000      117.376
      463        0.276        3.390            0      232.897        0.015      116.669
      464        0.483        3.509            0      235.685        0.206      114.131
      465        0.153        3.428            0      232.910        2.508      112.698
      466        0.184        3.389            0      232.420        0.300      114.208
      467        0.490        3.537            0      234.338        0.096      114.601
      468        0.496        3.528            0      233.915        0.000      114.956
      469        0.488        3.511            0      232.878        0.687      115.440
      470        0.480        3.537            0      235.681        0.168      116.962
      471        0.440        3.526            0      236.575        0.084      114.089
      472        0.170        3.392            0      232.223        0.161      113.274
      473        0.338        3.420            0      233.294        0.987      115.153
      474        0.170        3.386            0      232.386        0.547      116.299
      475        0.216        3.370            0      234.130        1.111      117.357
      476        0.122        3.388            0      231.111        5.123      114.096
      477        0.191        3.372            0      231.814        2.553      112.900
      478        0.145        3.385            0      232.614        2.127      113.862
      479        0.203        3.355            0      233.243        3.006      113.610
      480        0.257        3.337            0      230.699        2.749      117.690
      481        0.261        3.340            0      232.034        0.191      118.978
      482        0.122        3.441            0      233.766        0.226      111.991
      483        0.160        3.335            0      231.240        0.768      112.775
      484        0.526        3.504            0      235.160        0.251      111.419
      485        0.560        3.564            0      236.704        0.134      115.323
      486        0.258        3.356            0      231.546        3.929      114.772
      487        0.425        3.484            0      235.160        0.121      109.540
      488        0.489        3.511            0      234.196        0.809      114.546
      489        0.319        3.480            0      233.900        1.804      113.815
      490        0.328        3.474            0      235.679        0.923      115.361
      491        0.267        3.371            0      232.615        2.642      118.330
      492        0.331        3.482            0      234.236        0.656      114.555
      493        0.339        3.487            0      234.445        1.797      114.592
      494        0.432        3.514            0      235.387        0.028      113.294
      495        0.537        3.509            0      234.151        0.215      112.010
      496        0.394        3.513            0      234.436        0.753      115.296
      497        0.348        3.305            0      228.994        0.837      117.099
      498        0.371        3.477            0      233.747        0.000      117.898
      499        0.518        3.520            0      234.375        0.741      112.062
      500        0.472        3.540            0      234.961        1.518      114.890
      501        0.382        3.499            0      235.078        0.464      112.779
      502        0.153        3.366            0      232.338        0.081      112.742
      503        0.560        3.524            0      235.181        1.045      116.736
      504        0.145        3.366            0      232.400        2.167      113.241
      505        0.215        3.324            0      230.820        0.000      114.661
      506        0.620        3.528            0      233.784        1.280      112.355
      507        0.273        3.441            0      233.234        1.141      113.130
      508        0.471        3.545            0      235.920        0.295      118.434
      509        0.343        3.476            0      233.883        0.503      113.588
      510        0.497        3.501            0      233.851        0.299      110.124
      511        0.272        3.442            0      233.831        3.432      117.346
      512        0.219        3.344            0      231.720        2.227      114.579
      513        0.167        3.318            0      231.127        0.000      111.916
      514        0.219        3.319            0      229.360        1.339      115.500
      515        0.178        3.455            0      235.546        2.635      116.235
